номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
"Поступление (акт, накладная, УПД) МКУХ-005543 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003328 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005543,31.03.2026 23:59:59,Услуги,ТК СОТКОМ АО,6231004437,623001001,Договор 1252-ИЮС от 19.04.2011,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1375,7625,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005544 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003329 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005544,31.03.2026 23:59:59,Услуги,"Северо-Западный Филиал ПАО ""МегаФон""",7812014560,780143001,Договор 1221304 от 19.06.08 л.с. 24865794,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Мультикарта_Департамент процессинга_Бюджет МВЗ,Департамент процессинга,22%,8840.44,49024.25,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
"Поступление (акт, накладная, УПД) МКУХ-005545 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003330 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005545,31.03.2026 23:59:59,Услуги,"Северо-Западный Филиал ПАО ""МегаФон""",7812014560,780143001,Договор № 4795184-ОО от 01.02.2016,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,350788.42,1945281.22,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005546 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003331 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005546,31.03.2026 23:59:59,Услуги,"Северо-Западный Филиал ПАО ""МегаФон""",7812014560,780143001,Договор 3488502-ОО от 01.07.2015г.,3488502-ОО,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,138936.93,770468.42,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005547 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003332 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005547,31.03.2026 23:59:59,Услуги,МЕГАФОН ПАО (КПП 770701001),7812014560,770701001,Договор №ФД15/67 от 21.04.2014,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,смс-информирование,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,182565.46,1012408.48,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005548 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003333 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005548,31.03.2026 23:59:59,Услуги,МЕГАКОМ-ИТ ООО,5402046082,540101001,Договор №2011-07-05/002 от 01.12.2011 от Мегаком с 01.12.18,2011-07-05/002,998/МК,31.01.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148870,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,9777.99,54223.37,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005549 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003334 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005549,31.03.2026 23:59:59,Услуги,МЕГАКОМ-ИТ ООО,5402046082,540101001,Договор №2011-07-05/002 от 01.12.2011 от Мегаком с 01.12.18,2011-07-05/002,998/МК,31.01.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148870,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2915,16165,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005550 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003335 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005550,31.03.2026 23:59:59,Услуги,МЕГАКОМ-ИТ ООО,5402046082,540101001,Договор №2011-07-05/002 от 01.12.2011 от Мегаком с 01.12.18,2011-07-05/002,998/МК,31.01.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148870,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,605,3355,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005551 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003336 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005551,31.03.2026 23:59:59,Услуги,Метросеть ООО,8603156041,860301001,Договор № 0005651 от 01.11.2023 г.,5651,001064/ФУ,13.11.2023 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000150181,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,757.38,4200,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005552 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003337 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005552,31.03.2026 23:59:59,Услуги,"Северо-Западный Филиал ПАО ""МегаФон""",7812014560,780143001,Договор 111666/Мегафон от 01.02.11,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,услуги связи,Мультикарта_Департамент процессинга_Бюджет МВЗ,Департамент процессинга,22%,100.09,555.02,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
"Поступление (акт, накладная, УПД) МКУХ-005553 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003437 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005553,31.03.2026 23:59:59,Услуги,СЕРВИОНИКА ООО,7727790940,773601001,Договор №МК24-025 от 02.07.2024,\N,\N,\N,\N,\N,\N,\N,УХ,руб.,1,Услуги от поставщиков / подрядчиков,Работы по техническому обслуживанию инженерных систем по договору №МК24-025 от 02.07.2024 за период с «01» марта 2026 г. по «31» марта 2026 г.,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,63573.77,352545.44,Да,\N,\N,20.01,ПР: авторизации,Услуги по сопровождению/поддержке клиентов (11020404)
"Поступление (акт, накладная, УПД) МКУХ-005555 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003339 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005555,31.03.2026 23:59:59,Услуги,РОСИН.ТЕЛ АО,7116006212,711601001,Договор 19765/2011 от 10.05.2011,19765/2011,2941/МК,14.06.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147760,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,12207.34,67694.71,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005556 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003341 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005556,31.03.2026 23:59:59,Услуги,КТК ООО,4632193548,463201001,Договор №2641 от 01.11.2011г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,1570.67,32984,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005557 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003342 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005557,31.03.2026 23:59:59,Услуги,Октябрьская дирекция связи РЖД,7708503727,783845015,Договор №ЦСС002П от 29.05.2015г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,708.4,3928.4,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005559 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003344 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005559,31.03.2026 23:59:59,Услуги,ПАРМАТЕЛ ООО,1101170240,110101001,Договор № 590 от 01.04.2012г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,улуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,1033,21693,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005562 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003349 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005562,31.03.2026 23:59:59,Услуги,ИНТЕРСВЯЗЬ-2 АО,7448068879,744801001,Договор №1100-2012/V от 01.07.2012г.,1100-2012/v,9118/МК,12.10.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148226,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,23820.35,132094.68,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005565 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003352 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005565,31.03.2026 23:59:59,Услуги,КВАНТ-ТЕЛЕКОМ АО,3662124236,366201001,Договор 1509-К4732/11 от 01.12.2011,1509-К4732/11,1286/МК,07.02.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147584,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,7092.33,39330.23,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005566 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003353 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005566,31.03.2026 23:59:59,Услуги,МАКОМНЕТ АО,7702029405,770201001,Договор №MCARD.001.4599 от 05.07.2016г.,MCARD.001.4599,9372/МК,13.10.2016 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148709,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,852258,4726158,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005567 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003354 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005567,31.03.2026 23:59:59,Услуги,ФИЛАНКО СПБ ООО,7838492138,783801001,Договор №П180116-3 от 01.02.2016г.,П180116-3,4279/МК,12.05.2016 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147124,ДО,руб.,1,Услуги от поставщика,услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,4798.98,26612.55,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005572 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003359 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005572,31.03.2026 23:59:59,Услуги,ВИПЛАЙН ООО,3662209835,366201001,Договор №1673/13 от 23.08.13,1673/13,9618/МК,25.10.2013 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147790,ДО,руб.,1,Услуги от поставщика,Подключение к услугам связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,1908.24,40073,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005573 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003360 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005573,31.03.2026 23:59:59,Услуги,ВТК-МОБАЙЛ ООО,9718174994,771801001,Договор №ВТК-013/14-00155 от 28.11.2014г.(Воентелеком),\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,5126,28426,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005575 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003362 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005575,31.03.2026 23:59:59,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,290533.42,1611139.86,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005576 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003363 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005576,31.03.2026 23:59:59,Услуги,КВАНТ-ТЕЛЕКОМ АО,3662124236,366201001,Договор 1509-К4732/11 от 01.12.2011,1509-К4732/11,1286/МК,07.02.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147584,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1341.3,7438.14,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005580 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003367 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005580,31.03.2026 23:59:59,Услуги,ВАЙНАХ ТЕЛЕКОМ АО,2005503932,201401001,Договор №3826ДОУПД-ЮЛ-АО от 08.02.19,3826 ДОУПД-ЮЛ-АО,6561/МК,27.06.2019 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147738,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,31016.33,172000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005583 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003370 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005583,31.03.2026 23:59:59,Услуги,ИНФОРМСВЯЗЬ-ЧЕРНОЗЕМЬЕ АО ИК,3666077347,366601001,Договор №222442 от 30.09.2011,222442,2276/МК,11.03.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148859,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2483.37,13771.4,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005585 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003372 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005585,31.03.2026 23:59:59,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,2,Услуги от поставщиков / подрядчиков,услуги связи,Мультикарта_Департамент процессинга_Бюджет МВЗ,Департамент процессинга,22%,11000,61000,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
МКУХ-005585,31.03.2026 23:59:59,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,40018,221918,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005588 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003396 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005588,31.03.2026 23:59:59,Услуги,НАЛЬЧИК-ТЕЛЕКОМ ООО,725000921,72501001,Договор №823К от 18.02.2016г.,823К,4476/МК,23.05.2016 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146770,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,6930,38430,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005589 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003397 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005589,31.03.2026 23:59:59,Услуги,ООО ОБИТ,7810204213,784201001,Договор №Д148293 от 15.03.2021,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1100,6100,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005590 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003398 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005590,31.03.2026 23:59:59,Услуги,РЭДКОМ-ИНТЕРНЕТ АО,2720023090,272401001,Договор №957594 от 01.08.2012г.,957594,8548/МК,24.09.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147782,ДО,руб.,1,Услуги от поставщика,Услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,770,4270,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005591 от 31.03.2026 23:59:59",Отражение фактических данных МКУХ-003399 от 31.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005591,31.03.2026 23:59:59,Услуги,ЦВКС МСК-IX АО,7733661269,771401001,Договор № 141/MSA от 21.04.2023 г.,141/MSA,000286/ФУ,03.04.2023 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149024,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,15226.64,84438.64,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
